area,bathrooms,building_type,date,deal_type,id,image_urls,images,location,price,rooms,title,url
98 Mts,2 Baños,Apartamento,2023-06-03 18:04:20.174150,Venta,,https://imagenes.gallito.com/1024x768/230601132650680.jpg,,Palermo, U$S 280.000,3,Ambientes Fte al Mar! Excelente Vista! 3 Dorm+Estar.  Garaje,https://www.gallito.com.uy/ambientes-fte-al-mar-excelente-vista-3-dormestar-garaje-inmuebles-23846531
65 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.187896,Alquiler,,https://imagenes.gallito.com/1024x768/48890262.jpg,,Union, $U 26.000,3,Apartamento en Unión,https://www.gallito.com.uy/apartamento-en-union-inmuebles-23695701
120 Mts,2 Baños,Apartamento,2023-06-03 18:04:20.200555,Venta,,https://imagenes.gallito.com/1024x768/48782847.jpg,,Punta Del Este, U$S 250.000,2,APARTAMENTO DE 3 DORMITORIOS! PUNTA DEL ESTE! FRENTE AL MAR,https://www.gallito.com.uy/apartamento-de-3-dormitorios-punta-del-este-frente-al-mar-inmuebles-23424688
59 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.212304,Alquiler,,https://imagenes.gallito.com/1024x768/48755643.jpg,,Cordon, $U 25.500,2,Alquiler Apartamento Cordon Montevideo iMas.uy FC *...,https://www.gallito.com.uy/alquiler-apartamento-cordon-montevideo-imasuy-fc-inmuebles-23776787
78 Mts,2 Baños,Apartamento,2023-06-03 18:04:20.224904,Venta,,https://imagenes.gallito.com/1024x768/46181673.jpg,,Punta Del Este, U$S 280.000,2,"Impecable bien equipado, todo reciclado",https://www.gallito.com.uy/impecable-bien-equipado-todo-reciclado-inmuebles-22774378
53 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.255754,Alquiler,,https://imagenes.gallito.com/1024x768/49093785.jpg,,Union, $U 18.000,2,Apartamento en Alquiler,https://www.gallito.com.uy/apartamento-en-alquiler-inmuebles-23777825
41 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.270037,Alquiler,,https://imagenes.gallito.com/1024x768/48887261.jpg,,Malvin, $U 28.000,1,Apartamento - Malvín,https://www.gallito.com.uy/apartamento-malvin-inmuebles-23695402
40 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.282773,Venta,,https://imagenes.gallito.com/1024x768/48596187.jpg,,Punta Del Este, U$S 99.000,1,Muy luminoso sobre Roosevelt,https://www.gallito.com.uy/muy-luminoso-sobre-roosevelt-inmuebles-23429810
61 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.296411,Alquiler,,https://imagenes.gallito.com/1024x768/230416171228150.jpg,,Ciudad Vieja, $U 22.500,2,Hermoso apartamento al frente con balcón con vista al mar.,https://www.gallito.com.uy/hermoso-apartamento-al-frente-con-balcon-con-vista-al-mar-inmuebles-23619839
52 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.316213,Venta,,https://imagenes.gallito.com/1024x768/230508171300110.jpg,,Centro, U$S 110.000,2,Apto centro U$D 110.000 .,https://www.gallito.com.uy/apto-centro-usd-110000-inmuebles-23721255
225 Mts,3 Baños,Apartamento,2023-06-03 18:04:20.331511,Venta,,https://imagenes.gallito.com/1024x768/47139499.jpg,,Punta Ballena, U$S 450.000,2,"Apartamento 2 DORMITORIOS en Lomo de la Ballena, Punta Ball",https://www.gallito.com.uy/apartamento-2-dormitorios-en-lomo-de-la-ballena-punta-ball-inmuebles-23065678
37 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.350649,Alquiler,,https://imagenes.gallito.com/1024x768/230603123239310.jpg,,Cordon, $U 24.000,1,ALQUILER APTO CORDÓN SUR 1 DORM. + BALCÓN,https://www.gallito.com.uy/alquiler-apto-cordon-sur-1-dorm-balcon-inmuebles-20651824
149 Mts,3 Baños,Apartamento,2023-06-03 18:04:20.383235,Venta,,https://imagenes.gallito.com/1024x768/47092883.jpg,,Carrasco, U$S 525.000,3,Vendo apartamento 3 dormitorios en Carrasco - Barrio Parque,https://www.gallito.com.uy/vendo-apartamento-3-dormitorios-en-carrasco-barrio-parque-inmuebles-22988738
40 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.405386,Alquiler,,https://imagenes.gallito.com/1024x768/49163853.jpg,,Atahualpa, $U 21.000,1,Apartamento en Atahualpa,https://www.gallito.com.uy/apartamento-en-atahualpa-inmuebles-23695872
