area,bathrooms,building_type,date,deal_type,id,image_urls,images,location,price,rooms,title,url
450 Mts,2 Baños,Casa,2023-06-05 21:26:20.494989,Venta,41,https://imagenes.gallito.com/1024x768/230512114746310.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230512114746310.jpg', 'path': 41, 'checksum': '251e1c999ffbb7d08871a3db1e337a04', 'status': 'uptodate'}]",Salinas, U$S 188.000,3,"Casa en Venta - 3 dormitorios -  Salinas, Canelones",https://www.gallito.com.uy/casa-en-venta-3-dormitorios-salinas-canelones-inmuebles-23747899
600 Mts,1 Baños,Casa,2023-06-05 21:26:20.551199,Venta,42,https://imagenes.gallito.com/1024x768/221001164621190.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/221001164621190.jpg', 'path': 42, 'checksum': '242df6cad2432113392fb0a851c319b3', 'status': 'uptodate'}]",Parque Del Plata, U$S 119.000,2,PROXIMA A RUTA!! EXCELENTE OPORTUNIDAD!!!,https://www.gallito.com.uy/proxima-a-ruta-excelente-oportunidad-inmuebles-22640745
300 Mts,2 Baños,Casa,2023-06-05 21:26:20.565315,Venta,43,https://imagenes.gallito.com/1024x768/img_nodisponible.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/img_nodisponible.jpg', 'path': 43, 'checksum': '85672ed4eb01dd79e25266264d16ae9c', 'status': 'uptodate'}]",Otra, U$S 50.000,3,Casa en Sant'Ana do Livramento,https://www.gallito.com.uy/casa-en-santana-do-livramento-inmuebles-23435308
200 Mts,3 Baños,Casa,2023-06-05 21:26:20.583425,Venta,44,https://imagenes.gallito.com/1024x768/48605765.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48605765.jpg', 'path': 44, 'checksum': '9e0ff94a2d289d5cce80312587d62c96', 'status': 'uptodate'}]",Marindia, U$S 162.000,2,Venta casa  Marindia dos dormitorios,https://www.gallito.com.uy/venta-casa-marindia-dos-dormitorios-inmuebles-21465695
1024 Mts,Más de 3 baños,Casa,2023-06-05 21:26:20.669805,Venta,45,https://imagenes.gallito.com/1024x768/220821080513410.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220821080513410.jpg', 'path': 45, 'checksum': '248005d7a4eb4315831a7d59c2fe9172', 'status': 'uptodate'}]",Carrasco Norte, U$S 540.000,4,"4 dormitorios, 2 garage, terreno 1024. Construidos 224 mts",https://www.gallito.com.uy/4-dormitorios-2-garage-terreno-1024-construidos-224-mts-inmuebles-22411007
138 Mts,3 Baños,Casa,2023-06-05 21:26:20.733531,Venta,46,https://imagenes.gallito.com/1024x768/49143159.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49143159.jpg', 'path': 46, 'checksum': '33be1fc7e0668892d5d2dc673a6e56c1', 'status': 'downloaded'}]",Lomas De Solymar, U$S 285.000,2,Casa en El Pinar dos dormitorios más apto. y barbacoa,https://www.gallito.com.uy/casa-en-el-pinar-dos-dormitorios-mas-apto-y-barbacoa-inmuebles-19215830
1 Mts,2 Baños,Casa,2023-06-05 21:26:20.831194,Venta,51,https://imagenes.gallito.com/1024x768/48665606.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48665606.jpg', 'path': 51, 'checksum': '7a1ff9c62967e773b18c34e0771946e4', 'status': 'downloaded'}]",Aiguá, U$S 150.000,4,Casa en venta,https://www.gallito.com.uy/casa-en-venta-inmuebles-23636174
100 Mts,1 Baños,Casa,2023-06-05 21:26:20.766715,Venta,48,https://imagenes.gallito.com/1024x768/220914204230580.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220914204230580.jpg', 'path': 48, 'checksum': '016e4816fdffae2f4336c95063733076', 'status': 'downloaded'}]",Lezica, U$S 70.000,3,VENTA EN VILLA COLON DUPLEX DE 3 DORMITORIOS,https://www.gallito.com.uy/venta-en-villa-colon-duplex-de-3-dormitorios-inmuebles-22543446
120 Mts,1 Baños,Casa,2023-06-05 21:26:20.787473,Venta,49,https://imagenes.gallito.com/1024x768/48605816.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48605816.jpg', 'path': 49, 'checksum': 'a6ae52d42ba263d44343ec392b037de6', 'status': 'downloaded'}]",Parque Del Plata, U$S 130.000,3,Venta Casa  Parque del Plata dos dormitorios,https://www.gallito.com.uy/venta-casa-parque-del-plata-dos-dormitorios-inmuebles-21831335
65 Has.,2 Baños,Casa,2023-06-05 21:26:20.813819,Venta,50,https://imagenes.gallito.com/1024x768/220810125211920.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220810125211920.jpg', 'path': 50, 'checksum': '4a6089b3a84aebb483186480b9c90818', 'status': 'downloaded'}]",Pando, U$S 95.000,2,Duplex 2 Dormitorios. Barrio Privado el Molino de Pando,https://www.gallito.com.uy/duplex-2-dormitorios-barrio-privado-el-molino-de-pando-inmuebles-22352163
500 Mts,Más de 3 baños,Casa,2023-06-05 21:26:20.753003,Venta,47,https://imagenes.gallito.com/1024x768/48491779.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48491779.jpg', 'path': 47, 'checksum': '18ed7747aaf3ff3ef3f4eec706cb2552', 'status': 'downloaded'}]",B. De Carrasco, U$S 445.000,3,"Venta casa 3 dormitorios, jardín y piscina en Barra de Carr",https://www.gallito.com.uy/venta-casa-3-dormitorios-jardin-y-piscina-en-barra-de-carr-inmuebles-23378296
220 Mts,2 Baños,Casa,2023-06-05 21:26:20.874622,Venta,53,https://imagenes.gallito.com/1024x768/221027153340310.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/221027153340310.jpg', 'path': 53, 'checksum': 'f301538c6d77d4b47167b239de11eb48', 'status': 'downloaded'}]",La Blanqueada, U$S 170.000,3,"PADRON ÚNICO, CON 2 CASAS",https://www.gallito.com.uy/padron-unico-con-2-casas-inmuebles-22779445
83 Mts,1 Baños,Casa,2023-06-05 21:26:20.853134,Venta,52,https://imagenes.gallito.com/1024x768/47719296.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47719296.jpg', 'path': 52, 'checksum': '740bf8a03a24e45bf7f5f25b21ea2257', 'status': 'downloaded'}]",San José De Carrasco, U$S 185.000,2,San Jose De Carrasco Venta Apartamentos De 1 Y 2 Dormitorio,https://www.gallito.com.uy/san-jose-de-carrasco-venta-apartamentos-de-1-y-2-dormitorio-inmuebles-23502103
